postID,date,time,platform,content_type,caption,hashtags,likes,comments,shares,saves,reach,engagement_rate
P00201,21-01-2024,04:24,youtube,video,Post about content strategy,#analytics #growth #engagement #digital,1377,"Not groundbreaking, but very solid advice",441,202,26201,0.0832
P00202,10-05-2024,00:07,twiter,image_caurosel,Post about brand building,#marketing #growth #socialmedia #trends,3612,Good reminder of the basics,686,589,49381,0.1088
P00203,17-04-2024,23:25,facebook,image,Post about brand building,#digital #content,2881,This saves a lot of trial and error,767,88,30244,0.1354
P00204,23-06-2024,21:44,facebook,image,Post about brand building,#engagement #growth,4171,I tried something similar and got decent results,756,463,70861,0.0765
P00205,25-12-2024,20:15,twiter,image_caurosel,Post about growth,#digital #trends,4630,I wish more posts explained it this clearly,267,178,76268,0.0677
P00206,17-02-2024,21:45,instagram,video,Post about engagement tips,#growth #marketing,1699,"Not groundbreaking, but very solid advice",651,318,6214,0.4413
P00207,20-12-2024,22:09,facebook,image,Post about growth,#content #analytics #strategy #branding,3695,This saves a lot of trial and error,136,359,42954,0.0992
P00208,26-07-2024,15:13,youtube,image_caurosel,Post about content strategy,#growth #socialmedia #branding,1740,This saves a lot of trial and error,117,296,2570,0.9113
P00209,27-02-2024,11:18,facebook,video,Post about growth,#marketing #engagement,1371,"Helpful context, thanks for sharing",332,455,16748,0.1465
P00210,12-02-2024,20:31,instagram,image,Post about analytics,#digital #marketing #trends #strategy,2767,This actually answered a question I had,756,577,20116,0.2068
P00211,17-11-2024,23:01,youtube,image,Post about analytics,#digital #analytics #strategy,2109,This aligns with what I’ve been seeing lately,668,251,7250,0.428
P00212,07-06-2024,11:20,facebook,image,Post about analytics,#digital #branding #growth #marketing,2726,I tried something similar and got decent results,388,188,45167,0.0826
P00213,24-02-2024,06:31,instagram,image,Post about analytics,#trends #socialmedia #analytics,4693,"Straight to the point, well done",643,412,11338,0.55
P00214,24-03-2024,14:30,facebook,image_caurosel,Post about content strategy,#marketing #strategy,1182,I wish more posts explained it this clearly,453,411,4140,0.5002
P00215,14-03-2024,13:56,twiter,image_caurosel,Post about engagement tips,#analytics #trends,2370,Makes sense when you see it laid out like this,73,56,36116,0.0794
P00216,31-05-2024,18:12,instagram,image_caurosel,Post about brand building,#strategy #engagement #content,84,This confirms what our data showed,453,576,1486,0.8721
P00217,16-11-2024,21:21,twiter,video,Post about brand building,#digital #engagement #analytics,1314,This actually answered a question I had,410,83,3300,0.6612
P00218,24-06-2024,21:47,instagram,video,Post about growth,#trends #digital,4395,This confirms what our data showed,648,28,29167,0.1779
P00219,24-10-2024,14:25,twiter,image_caurosel,Post about analytics,#growth #strategy,3460,This aligns with what I’ve been seeing lately,368,542,34968,0.1334
P00220,23-04-2024,21:16,instagram,image_caurosel,Post about brand building,#growth #strategy #socialmedia,2126,"Not groundbreaking, but very solid advice",665,97,14436,0.2192
P00221,28-10-2024,14:08,youtube,video,Post about brand building,#engagement #content,4693,This confirms what our data showed,82,417,93775,0.0558
P00222,28-03-2024,04:23,youtube,image,Post about analytics,#digital #marketing,1619,This was genuinely helpful for my workflow,576,486,27033,0.1011
P00223,25-12-2024,22:08,instagram,image_caurosel,Post about brand building,#trends #socialmedia,4918,"Interesting approach, might test this soon",218,470,44250,0.1282
P00224,27-03-2024,23:43,youtube,image,Post about growth,#digital #strategy,3056,"Not groundbreaking, but very solid advice",763,349,55774,0.0818
P00225,01-07-2024,17:20,youtube,image_caurosel,Post about analytics,#digital #growth #engagement,4055,This was genuinely helpful for my workflow,44,361,17135,0.2712
P00226,24-10-2024,02:51,twiter,image_caurosel,Post about analytics,#branding #content #analytics #trends,3653,"Useful breakdown, especially the last part",116,21,67642,0.0569
P00227,02-10-2024,04:31,instagram,image_caurosel,Post about growth,#analytics #content,2251,"Helpful context, thanks for sharing",454,14,3893,0.7447
P00228,22-03-2024,11:21,facebook,image,Post about analytics,#trends #marketing #growth #socialmedia,3724,"Interesting approach, might test this soon",402,234,71507,0.0616
P00229,27-08-2024,11:20,youtube,image,Post about brand building,#digital #growth #marketing,2764,"Straight to the point, well done",590,479,28204,0.1531
P00230,23-08-2024,04:17,instagram,image,Post about growth,#branding #digital #analytics #strategy,421,I tried something similar and got decent results,646,149,6396,0.2445
P00231,14-10-2024,20:06,twiter,image,Post about analytics,#socialmedia #branding,830,Good reminder of the basics,204,436,11222,0.1575
P00232,04-07-2024,17:45,instagram,image,Post about growth,#digital #trends #engagement #branding,4218,"Interesting approach, might test this soon",650,251,50169,0.111
P00233,04-05-2024,00:56,instagram,image,Post about engagement tips,#trends #branding #analytics,1973,"Short and informative, I like it",357,154,10880,0.2384
P00234,03-02-2024,18:35,twiter,image_caurosel,Post about analytics,#socialmedia #analytics #branding #engagement,1228,"Interesting approach, might test this soon",308,315,9509,0.2343
P00235,27-08-2024,02:53,instagram,image,Post about analytics,#branding #strategy #marketing,2974,Appreciate the practical example here,793,438,50258,0.0926
P00236,16-11-2024,12:28,facebook,video,Post about content strategy,#socialmedia #growth #strategy #digital,2245,I tried something similar and got decent results,242,20,16572,0.153
P00237,07-03-2024,18:21,facebook,image_caurosel,Post about analytics,#strategy #marketing #digital,4973,This was genuinely helpful for my workflow,49,81,14619,0.3777
P00238,18-04-2024,12:39,twiter,image_caurosel,Post about growth,#marketing #socialmedia #digital,2684,"Helpful context, thanks for sharing",334,27,45232,0.0729
P00239,02-11-2024,00:59,twiter,video,Post about content strategy,#content #digital,3323,Appreciate the practical example here,263,474,60576,0.0672
P00240,17-02-2024,02:22,twiter,image,Post about content strategy,#trends #strategy #analytics #digital,202,Easy to understand and practical,159,215,806,1.0571
P00241,21-10-2024,01:49,twiter,video,Post about brand building,#engagement #strategy #branding #analytics,2760,"Not groundbreaking, but very solid advice",235,264,49404,0.071
P00242,28-09-2024,15:06,twiter,image_caurosel,Post about analytics,#socialmedia #marketing #analytics,2294,This aligns with what I’ve been seeing lately,135,258,2906,1.0244
P00243,31-01-2024,05:16,twiter,video,Post about analytics,#analytics #strategy,4500,This was genuinely helpful for my workflow,513,209,77297,0.0728
P00244,28-06-2024,11:57,instagram,image,Post about analytics,#marketing #socialmedia #trends,2037,Clear explanation without unnecessary hype,452,510,16025,0.2077
P00245,26-11-2024,18:24,instagram,image,Post about analytics,#branding #marketing,3341,"Useful breakdown, especially the last part",690,359,7292,0.6186
P00246,29-12-2024,10:48,instagram,video,Post about content strategy,#engagement #growth #analytics,3603,"Helpful context, thanks for sharing",247,236,50062,0.0838
P00247,16-05-2024,00:31,facebook,image_caurosel,Post about content strategy,#trends #engagement #growth #branding,1168,I tried something similar and got decent results,307,289,4085,0.4744
P00248,17-04-2024,04:59,twiter,video,Post about growth,#analytics #marketing,3002,Simple but effective insight,47,449,14969,0.2488
P00249,03-06-2024,05:29,instagram,image_caurosel,Post about engagement tips,#content #digital #marketing,1285,"Short and informative, I like it",514,360,4501,0.5661
P00250,30-04-2024,16:38,facebook,video,Post about engagement tips,#socialmedia #marketing #strategy #analytics,1699,Clear explanation without unnecessary hype,642,15,2960,0.8209
P00251,26-02-2024,00:11,facebook,video,Post about brand building,#strategy #trends,1036,This aligns with what I’ve been seeing lately,499,139,18272,0.1039
P00252,28-09-2024,07:46,youtube,image,Post about analytics,#branding #trends,2946,Clear explanation without unnecessary hype,508,79,25867,0.141
P00253,23-01-2024,17:23,twiter,image_caurosel,Post about content strategy,#marketing #engagement #branding #strategy,1659,Good reminder of the basics,520,49,15052,0.1752
P00254,19-12-2024,10:34,instagram,image,Post about analytics,#content #trends #analytics,3411,This was genuinely helpful for my workflow,763,275,29598,0.1578
P00255,02-05-2024,06:42,youtube,image_caurosel,Post about brand building,#marketing #content,4154,This confirms what our data showed,260,386,35731,0.1463
P00256,15-06-2024,00:30,instagram,video,Post about content strategy,#strategy #content #growth #trends,3674,Makes sense when you see it laid out like this,562,323,63396,0.0766
P00257,30-06-2024,21:43,twiter,image_caurosel,Post about brand building,#growth #branding #strategy #content,575,"Helpful context, thanks for sharing",402,538,4959,0.3696
P00258,27-06-2024,04:04,twiter,video,Post about analytics,#analytics #digital #growth #strategy,4326,Appreciate the practical example here,603,488,79149,0.0699
P00259,19-03-2024,11:53,instagram,image_caurosel,Post about engagement tips,#branding #content,3820,This aligns with what I’ve been seeing lately,181,44,46040,0.0922
P00260,05-07-2024,14:42,youtube,image,Post about engagement tips,#engagement #socialmedia #trends,2971,"Helpful context, thanks for sharing",678,535,37158,0.1169
P00261,30-03-2024,15:33,facebook,video,Post about content strategy,#digital #content #branding #marketing,4288,This confirms what our data showed,153,6,21415,0.2166
P00262,12-04-2024,05:19,twiter,image,Post about content strategy,#branding #engagement,56,Clear explanation without unnecessary hype,584,265,194,6.2474
P00263,25-09-2024,09:39,twiter,image_caurosel,Post about engagement tips,#digital #marketing #branding,4091,I wish more posts explained it this clearly,90,206,20927,0.2202
P00264,08-08-2024,18:08,facebook,video,Post about brand building,#socialmedia #growth #digital,2153,Clear explanation without unnecessary hype,360,244,27427,0.1166
P00265,10-02-2024,15:59,youtube,image_caurosel,Post about brand building,#engagement #trends #content #growth,3699,"Helpful context, thanks for sharing",388,402,72638,0.0648
P00266,31-03-2024,16:48,youtube,video,Post about analytics,#growth #content #marketing #digital,583,This actually answered a question I had,450,407,8651,0.175
P00267,10-10-2024,03:05,facebook,image_caurosel,Post about brand building,#socialmedia #engagement,2754,Clear explanation without unnecessary hype,787,396,53228,0.0785
P00268,20-04-2024,10:30,youtube,video,Post about engagement tips,#analytics #content #marketing #strategy,4673,Simple but effective insight,465,56,30885,0.1801
P00269,13-06-2024,17:17,twiter,image_caurosel,Post about content strategy,#branding #trends #content,2788,"Not groundbreaking, but very solid advice",194,530,3202,1.128
P00270,03-08-2024,12:51,instagram,video,Post about content strategy,#growth #analytics #marketing,469,This gave me a new angle to think about,314,311,4560,0.3382
P00271,01-10-2024,04:23,twiter,image_caurosel,Post about engagement tips,#strategy #marketing #digital #trends,3112,This confirms what our data showed,475,500,49654,0.0884
P00272,04-02-2024,07:50,instagram,image,Post about analytics,#growth #engagement #content #digital,3399,This saves a lot of trial and error,578,331,5733,0.7767
P00273,14-04-2024,20:07,youtube,image_caurosel,Post about growth,#engagement #analytics #marketing #digital,1714,This confirms what our data showed,59,184,15946,0.1506
P00274,25-03-2024,05:09,facebook,video,Post about growth,#socialmedia #growth #trends,4131,I tried something similar and got decent results,226,301,31810,0.1552
P00275,31-07-2024,13:09,youtube,video,Post about analytics,#analytics #engagement,1883,This actually answered a question I had,674,263,30896,0.1028
P00276,29-04-2024,08:20,facebook,image_caurosel,Post about analytics,#marketing #digital #content,4818,Simple but effective insight,326,574,25021,0.235
P00277,24-11-2024,06:29,facebook,video,Post about analytics,#digital #content #socialmedia,2434,I tried something similar and got decent results,228,558,47948,0.0682
P00278,29-06-2024,02:18,instagram,image,Post about growth,#socialmedia #growth #engagement,1050,"Useful breakdown, especially the last part",673,215,18250,0.1212
P00279,04-06-2024,04:30,twiter,image_caurosel,Post about brand building,#marketing #socialmedia #trends,4946,"Interesting approach, might test this soon",597,553,16557,0.3747
P00280,09-04-2024,10:22,instagram,image,Post about analytics,#digital #analytics #socialmedia,1296,This actually answered a question I had,672,307,2956,0.8011
P00281,05-02-2024,05:38,instagram,image,Post about growth,#marketing #strategy,4630,"Short and informative, I like it",465,97,76945,0.0683
P00282,19-02-2024,11:04,twiter,video,Post about analytics,#analytics #socialmedia #digital,3433,This was genuinely helpful for my workflow,662,135,30671,0.1477
P00283,26-11-2024,03:56,facebook,image_caurosel,Post about analytics,#branding #strategy #socialmedia,3984,Good reminder of the basics,310,152,38250,0.1176
P00284,27-08-2024,16:16,twiter,image_caurosel,Post about content strategy,#strategy #growth #analytics,2064,"Straight to the point, well done",167,582,37176,0.0764
P00285,30-09-2024,01:31,facebook,video,Post about analytics,#analytics #trends,4160,"Useful breakdown, especially the last part",245,97,6160,0.7404
P00286,16-01-2024,18:56,youtube,image_caurosel,Post about brand building,#growth #trends,3523,Easy to understand and practical,402,530,17910,0.2573
P00287,19-09-2024,03:02,facebook,video,Post about analytics,#digital #socialmedia #engagement,559,"Short and informative, I like it",251,74,10395,0.1021
P00288,03-04-2024,02:50,facebook,image_caurosel,Post about brand building,#analytics #trends #digital #content,138,Simple but effective insight,325,421,1825,0.4959
P00289,14-04-2024,00:50,instagram,image_caurosel,Post about engagement tips,#digital #socialmedia #strategy #engagement,1673,I tried something similar and got decent results,224,339,24912,0.0913
P00290,06-07-2024,15:43,instagram,image_caurosel,Post about content strategy,#branding #marketing #engagement #content,3419,"Short and informative, I like it",94,357,41631,0.0951
P00291,25-03-2024,18:34,youtube,image_caurosel,Post about content strategy,#growth #trends,3616,"Short and informative, I like it",395,525,42822,0.115
P00292,22-08-2024,21:56,youtube,image,Post about engagement tips,#digital #content #strategy #marketing,4650,"Straight to the point, well done",242,504,80036,0.0733
P00293,30-11-2024,00:19,instagram,video,Post about growth,#engagement #content,2831,I wish more posts explained it this clearly,679,436,54817,0.0749
P00294,05-11-2024,06:05,twiter,image,Post about engagement tips,#marketing #branding #digital #trends,2503,"Useful breakdown, especially the last part",468,149,24504,0.1389
P00295,05-04-2024,06:43,youtube,image,Post about analytics,#branding #digital #analytics,3671,"Interesting approach, might test this soon",417,551,35375,0.133
P00296,26-03-2024,10:56,facebook,image_caurosel,Post about engagement tips,#marketing #trends #analytics #strategy,1886,"Straight to the point, well done",359,403,22128,0.1314
P00297,20-08-2024,03:35,instagram,image_caurosel,Post about content strategy,#content #socialmedia #digital #growth,4680,"Useful breakdown, especially the last part",672,256,50877,0.1171
P00298,31-05-2024,21:03,instagram,image,Post about content strategy,#marketing #trends #socialmedia #branding,3014,Makes sense when you see it laid out like this,312,384,37255,0.1108
P00299,17-08-2024,19:47,instagram,image_caurosel,Post about content strategy,#analytics #marketing #branding,2598,Simple but effective insight,769,524,12598,0.3389
P00300,06-04-2024,05:47,twiter,video,Post about analytics,#strategy #marketing #content,4863,This confirms what our data showed,590,520,11000,0.5616
P00301,27-07-2024,22:23,twiter,image,Post about analytics,#engagement #marketing #digital #socialmedia,740,This gave me a new angle to think about,692,389,8837,0.2624
P00302,21-09-2024,21:19,youtube,video,Post about content strategy,#digital #analytics #branding,555,This actually answered a question I had,166,315,9103,0.1239
P00303,31-08-2024,12:06,twiter,image,Post about engagement tips,#content #engagement #branding,1666,This aligns with what I’ve been seeing lately,635,328,32096,0.089
P00304,14-04-2024,10:02,facebook,image,Post about brand building,#strategy #content #socialmedia,3738,"Useful breakdown, especially the last part",513,418,24709,0.2053
P00305,19-07-2024,09:54,youtube,image,Post about engagement tips,#marketing #strategy,3021,"Short and informative, I like it",734,405,37732,0.1214
P00306,05-06-2024,02:56,youtube,video,Post about engagement tips,#socialmedia #branding #analytics #digital,2947,Appreciate the practical example here,616,368,20368,0.1993
P00307,20-11-2024,23:53,twiter,image,Post about engagement tips,#digital #trends #analytics,1015,Simple but effective insight,793,413,13961,0.1902
P00308,29-09-2024,10:43,youtube,image,Post about growth,#marketing #growth #content #strategy,4319,This gave me a new angle to think about,423,295,21845,0.2358
P00309,20-10-2024,21:54,facebook,video,Post about growth,#marketing #content #branding,2293,Simple but effective insight,695,135,12219,0.2652
P00310,27-11-2024,19:38,twiter,video,Post about analytics,#branding #socialmedia,3198,"Interesting approach, might test this soon",627,281,49881,0.0831
P00311,12-12-2024,16:04,youtube,image,Post about analytics,#engagement #analytics,4711,This saves a lot of trial and error,80,368,7787,0.7091
P00312,20-05-2024,19:51,youtube,image_caurosel,Post about brand building,#socialmedia #engagement #growth,4173,This actually answered a question I had,60,456,81557,0.061
P00313,18-11-2024,06:35,facebook,image,Post about brand building,#marketing #growth #analytics #trends,2836,"Not groundbreaking, but very solid advice",338,543,40110,0.0957
P00314,17-05-2024,02:37,youtube,image,Post about engagement tips,#trends #content #growth #digital,3522,I tried something similar and got decent results,383,64,39420,0.1102
P00315,09-07-2024,15:36,facebook,image,Post about engagement tips,#trends #engagement #growth #analytics,4404,Easy to understand and practical,337,257,13780,0.3869
P00316,07-04-2024,06:04,youtube,image,Post about analytics,#growth #branding #trends #strategy,966,This actually answered a question I had,412,169,10245,0.1894
P00317,12-01-2024,00:53,twiter,video,Post about content strategy,#analytics #digital #strategy #trends,179,This aligns with what I’ve been seeing lately,64,362,1041,0.7906
P00318,23-01-2024,00:51,instagram,image_caurosel,Post about content strategy,#analytics #digital,1485,"Helpful context, thanks for sharing",707,363,15300,0.1974
P00319,05-09-2024,04:54,youtube,video,Post about brand building,#strategy #content #growth,727,"Interesting approach, might test this soon",345,326,8549,0.2178
P00320,08-05-2024,23:46,instagram,image_caurosel,Post about engagement tips,#analytics #marketing,223,This aligns with what I’ve been seeing lately,197,284,3820,0.2893
P00321,19-04-2024,02:29,youtube,image_caurosel,Post about brand building,#socialmedia #digital #strategy #branding,4845,This confirms what our data showed,544,388,8483,0.6821
P00322,24-08-2024,06:57,twiter,image,Post about growth,#trends #analytics,4019,This gave me a new angle to think about,787,210,5000,1.029
P00323,13-08-2024,02:36,youtube,image,Post about analytics,#growth #engagement #strategy,3788,Easy to understand and practical,585,599,61431,0.0874
P00324,13-03-2024,07:51,facebook,image_caurosel,Post about engagement tips,#growth #marketing #trends #strategy,1019,This gave me a new angle to think about,509,390,3094,0.7372
P00325,01-01-2024,07:49,youtube,video,Post about brand building,#branding #marketing #analytics,361,This saves a lot of trial and error,477,49,3674,0.2763
P00326,10-01-2024,04:51,facebook,video,Post about brand building,#socialmedia #strategy #content,3972,This was genuinely helpful for my workflow,775,106,16650,0.2975
P00327,06-02-2024,19:39,youtube,video,Post about growth,#strategy #branding #engagement #growth,293,This was genuinely helpful for my workflow,569,87,4429,0.2802
P00328,13-10-2024,14:13,youtube,video,Post about analytics,#content #socialmedia #strategy #branding,1758,"Not groundbreaking, but very solid advice",24,191,35005,0.0684
P00329,29-06-2024,03:05,twiter,image,Post about content strategy,#branding #analytics #engagement,820,Easy to understand and practical,89,244,14761,0.109
P00330,22-10-2024,02:02,youtube,video,Post about brand building,#strategy #content,2793,This saves a lot of trial and error,787,196,3268,1.1692
P00331,27-07-2024,00:53,youtube,video,Post about growth,#analytics #content #marketing #socialmedia,4756,Easy to understand and practical,664,215,15236,0.4008
P00332,30-05-2024,09:54,twiter,image_caurosel,Post about content strategy,#socialmedia #analytics #engagement,3668,Appreciate the practical example here,261,137,36802,0.1216
P00333,30-11-2024,07:00,instagram,video,Post about growth,#growth #strategy #digital,3927,Good reminder of the basics,780,333,39886,0.1368
P00334,01-01-2024,03:02,twiter,image,Post about content strategy,#socialmedia #strategy #trends,2006,This saves a lot of trial and error,350,81,36892,0.0684
P00335,23-03-2024,13:59,youtube,video,Post about analytics,#branding #marketing,1782,"Useful breakdown, especially the last part",543,54,17855,0.1604
P00336,08-08-2024,23:18,instagram,image_caurosel,Post about content strategy,#marketing #socialmedia #growth,1019,"Useful breakdown, especially the last part",180,448,6492,0.3088
P00337,12-11-2024,22:25,twiter,image_caurosel,Post about growth,#socialmedia #strategy #marketing #engagement,4892,"Interesting approach, might test this soon",145,71,83274,0.0618
P00338,08-02-2024,16:44,twiter,image,Post about analytics,#branding #trends,1215,Makes sense when you see it laid out like this,570,115,17412,0.1284
P00339,28-07-2024,10:53,facebook,image_caurosel,Post about engagement tips,#socialmedia #growth,1469,"Interesting approach, might test this soon",455,97,16582,0.1327
P00340,09-12-2024,02:10,twiter,video,Post about content strategy,#marketing #analytics,2798,"Helpful context, thanks for sharing",284,10,15266,0.2053
P00341,19-02-2024,18:14,youtube,image_caurosel,Post about content strategy,#branding #analytics,518,"Interesting approach, might test this soon",392,260,1995,0.7348
P00342,05-07-2024,23:16,twiter,image,Post about analytics,#socialmedia #growth #analytics #engagement,4491,Makes sense when you see it laid out like this,739,180,22646,0.2475
P00343,16-01-2024,12:54,twiter,image_caurosel,Post about engagement tips,#marketing #trends #socialmedia,1884,Makes sense when you see it laid out like this,664,198,16257,0.1932
P00344,08-07-2024,15:07,youtube,image,Post about brand building,#engagement #socialmedia #content #marketing,1973,"Helpful context, thanks for sharing",288,30,32964,0.0764
P00345,02-09-2024,03:12,youtube,image,Post about content strategy,#engagement #growth #digital,1473,This confirms what our data showed,236,436,15919,0.137
P00346,30-01-2024,06:36,instagram,image_caurosel,Post about growth,#strategy #marketing #growth,635,"Not groundbreaking, but very solid advice",521,227,8584,0.2061
P00347,28-03-2024,15:16,instagram,image,Post about analytics,#engagement #digital,4231,This aligns with what I’ve been seeing lately,323,217,17554,0.2745
P00348,15-04-2024,22:30,instagram,image,Post about analytics,#marketing #strategy #trends #digital,2348,"Helpful context, thanks for sharing",678,369,6834,0.5064
P00349,17-12-2024,19:08,twiter,image_caurosel,Post about engagement tips,#marketing #digital #analytics,313,"Straight to the point, well done",550,239,4420,0.3274
P00350,09-01-2024,01:18,instagram,image_caurosel,Post about analytics,#digital #growth #socialmedia,4948,Makes sense when you see it laid out like this,469,83,63869,0.0879
P00351,13-01-2024,02:30,twiter,video,Post about engagement tips,#growth #trends #strategy #content,1403,"Helpful context, thanks for sharing",12,368,17289,0.1103
P00352,13-04-2024,10:02,instagram,image_caurosel,Post about content strategy,#marketing #digital #analytics,2588,"Straight to the point, well done",467,277,17437,0.2196
P00353,01-01-2024,15:35,instagram,image_caurosel,Post about content strategy,#strategy #socialmedia,1318,"Useful breakdown, especially the last part",622,264,21216,0.1151
P00354,01-08-2024,10:56,youtube,image_caurosel,Post about analytics,#analytics #socialmedia #engagement,1271,I wish more posts explained it this clearly,140,534,5723,0.3926
P00355,09-05-2024,23:17,instagram,image_caurosel,Post about growth,#socialmedia #marketing #branding,4720,Clear explanation without unnecessary hype,677,228,24500,0.2498
P00356,27-05-2024,12:54,twiter,video,Post about brand building,#socialmedia #engagement #growth #strategy,1485,"Not groundbreaking, but very solid advice",141,430,3908,0.5967
P00357,27-10-2024,02:37,twiter,video,Post about engagement tips,#branding #growth,3077,I wish more posts explained it this clearly,534,571,15724,0.2805
P00358,06-07-2024,21:30,facebook,video,Post about content strategy,#engagement #trends,4341,Good reminder of the basics,263,75,11842,0.4225
P00359,13-12-2024,13:05,facebook,video,Post about engagement tips,#analytics #growth #digital,1526,"Interesting approach, might test this soon",476,332,27291,0.0901
P00360,13-07-2024,20:13,twiter,image_caurosel,Post about growth,#analytics #content #strategy #digital,4099,Clear explanation without unnecessary hype,785,373,20839,0.2579
P00361,28-08-2024,11:22,instagram,image,Post about analytics,#marketing #analytics #content,4820,"Interesting approach, might test this soon",465,340,80463,0.0734
P00362,29-02-2024,22:37,facebook,image,Post about content strategy,#branding #analytics #socialmedia #trends,2443,This saves a lot of trial and error,563,208,44051,0.076
P00363,06-12-2024,17:26,twiter,image_caurosel,Post about growth,#analytics #socialmedia,4873,"Straight to the point, well done",46,203,6859,0.7918
P00364,03-01-2024,22:50,facebook,image_caurosel,Post about growth,#socialmedia #trends,1472,This gave me a new angle to think about,235,178,10179,0.231
P00365,17-03-2024,10:18,instagram,video,Post about engagement tips,#digital #marketing #socialmedia,3899,"Useful breakdown, especially the last part",343,75,72381,0.0622
P00366,24-03-2024,22:16,facebook,video,Post about content strategy,#strategy #engagement #analytics,2225,This gave me a new angle to think about,93,64,43142,0.0559
P00367,05-11-2024,09:45,youtube,image_caurosel,Post about content strategy,#engagement #socialmedia,4640,Clear explanation without unnecessary hype,52,157,60079,0.0841
P00368,27-10-2024,07:39,youtube,video,Post about engagement tips,#content #analytics #marketing #socialmedia,1297,"Short and informative, I like it",195,463,16666,0.1419
P00369,20-04-2024,08:32,instagram,video,Post about brand building,#marketing #trends #growth,933,This was genuinely helpful for my workflow,649,468,8847,0.2757
P00370,23-04-2024,06:57,facebook,image_caurosel,Post about content strategy,#branding #analytics #strategy #marketing,4250,"Straight to the point, well done",297,216,63808,0.0796
P00371,25-08-2024,16:46,twiter,image_caurosel,Post about brand building,#socialmedia #branding #marketing,2826,Good reminder of the basics,720,317,28832,0.1397
P00372,20-09-2024,00:12,twiter,image_caurosel,Post about brand building,#strategy #digital #engagement #branding,1986,This actually answered a question I had,154,179,18073,0.1416
P00373,08-02-2024,15:04,twiter,video,Post about brand building,#engagement #digital,920,"Helpful context, thanks for sharing",674,71,13622,0.139
P00374,30-12-2024,23:59,twiter,video,Post about growth,#engagement #socialmedia,3477,"Useful breakdown, especially the last part",788,380,62065,0.0814
P00375,09-03-2024,21:39,youtube,image,Post about growth,#digital #content #socialmedia #engagement,356,Makes sense when you see it laid out like this,570,132,893,1.4569
P00376,23-12-2024,21:08,youtube,video,Post about growth,#analytics #strategy #content,820,Appreciate the practical example here,733,52,1362,1.29
P00377,02-05-2024,11:07,facebook,image,Post about brand building,#socialmedia #branding,1472,Makes sense when you see it laid out like this,396,436,24688,0.1005
P00378,30-08-2024,22:12,facebook,video,Post about analytics,#socialmedia #strategy #digital,1905,"Straight to the point, well done",189,295,32414,0.0801
P00379,15-01-2024,19:20,twiter,image_caurosel,Post about content strategy,#growth #content #marketing #strategy,2140,This was genuinely helpful for my workflow,525,480,11893,0.3016
P00380,28-04-2024,01:57,youtube,image,Post about analytics,#branding #digital #trends,4759,"Interesting approach, might test this soon",352,10,38114,0.1426
P00381,12-11-2024,07:00,instagram,video,Post about brand building,#marketing #analytics,2940,Simple but effective insight,403,387,21569,0.1758
P00382,06-06-2024,09:08,facebook,video,Post about content strategy,#marketing #digital #analytics #content,2124,Good reminder of the basics,516,333,27091,0.1182
P00383,12-03-2024,10:30,instagram,video,Post about analytics,#digital #trends #growth #marketing,4494,This aligns with what I’ve been seeing lately,668,49,76311,0.0714
P00384,01-03-2024,02:39,youtube,image,Post about growth,#engagement #content,2729,This actually answered a question I had,26,26,17631,0.1687
P00385,01-09-2024,11:46,twiter,video,Post about content strategy,#socialmedia #strategy #trends #growth,3147,This saves a lot of trial and error,317,590,33999,0.1242
P00386,01-08-2024,11:34,twiter,video,Post about growth,#trends #marketing #engagement #branding,146,"Short and informative, I like it",681,232,1017,1.1504
P00387,09-08-2024,05:33,twiter,video,Post about content strategy,#growth #marketing,243,"Straight to the point, well done",734,134,3779,0.3078
P00388,06-07-2024,13:12,twiter,image,Post about content strategy,#analytics #engagement #marketing #digital,3600,Simple but effective insight,161,389,13712,0.3377
P00389,05-11-2024,20:35,youtube,video,Post about content strategy,#marketing #growth,3146,"Not groundbreaking, but very solid advice",574,168,15181,0.257
P00390,12-01-2024,04:35,facebook,image_caurosel,Post about analytics,#engagement #marketing #content #socialmedia,4165,Easy to understand and practical,731,220,71136,0.0753
P00391,18-12-2024,06:32,instagram,image_caurosel,Post about growth,#digital #analytics,2172,"Straight to the point, well done",618,282,17513,0.188
P00392,02-10-2024,19:11,facebook,video,Post about growth,#engagement #growth #branding #content,2144,I wish more posts explained it this clearly,237,529,13662,0.222
P00393,18-09-2024,02:55,youtube,video,Post about engagement tips,#digital #engagement,480,Appreciate the practical example here,500,1,7751,0.1846
P00394,23-11-2024,23:15,facebook,image_caurosel,Post about analytics,#digital #content #branding,1823,This actually answered a question I had,556,344,28598,0.1091
P00395,23-03-2024,18:20,youtube,video,Post about content strategy,#content #engagement,1840,This saves a lot of trial and error,456,87,11202,0.2219
P00396,30-10-2024,06:30,facebook,video,Post about analytics,#socialmedia #digital,4033,Makes sense when you see it laid out like this,484,283,65843,0.077
P00397,05-02-2024,10:22,instagram,video,Post about analytics,#trends #strategy #marketing,3354,I tried something similar and got decent results,102,362,51480,0.0785
P00398,01-09-2024,09:10,youtube,video,Post about analytics,#digital #content #trends #branding,2953,"Short and informative, I like it",521,411,31321,0.1343
P00399,12-12-2024,05:18,youtube,image_caurosel,Post about growth,#digital #engagement #strategy #growth,1849,"Useful breakdown, especially the last part",348,160,28248,0.0954
